
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDDRUGID	LNM	Indication	ICD9	ICD10
D00HHS-D01KPV	Fexofenadine + Pseudoephedrine	Sneezing; Cough; Runny or stuffy nose		R05
D00HHS-D02WIW	Dexbrompheniramine + Pseudoephedrine	Sneezing; Cough; Runny or stuffy nose		R05
D00HHS-D02WIW-D0U5QK	Acetaminophen + Dexbrompheniramine + Pseudoephedrine	Fever; Minor aches and pains		R50
D00HHS-D03DIG-D0E8CI	Codeine + Pseudoephedrine + Triprolidine	Coughs; Upper respiratory tract symptoms		R05, J00-J06
D00HHS-D06ABF	Loratadine + Pseudoephedrine	Seasonal allergic rhinitis	472.0, 477	J00, J30, J31.0
D00HHS-D08VXO	brompheniramine + pseudoephedrine	Nasal congestion and inflammations; Rhinitis		J00, J30, J31.0
D00HHS-D08VXO-D09OBB	Brompheniramine + Dextromethorphan + Pseudoephedrine	Sneezing; Cough; Runny or stuffy nose		R05
D00HHS-D0B7NG	Chlorpheniramine + Pseudoephedrine	Sinus congestion; Sinus pressure; Runny nose		R09.8
D00HHS-D0B7NG-D0R1QE	Chlorpheniramine + Ibuprofen + Pseudoephedrine	Sneezing; Cough; Runny or stuffy nose		R05
D00HHS-D0B7NG-D0X5KF	Chlorpheniramine + Hydrocodone + Pseudoephedrine	Cough; Nasal congestion		R05
D00HHS-D0C5XC-D0U5QK	Acetaminophen + Clemastine + Pseudoephedrine	Runny or stuffy nose; Sinus congestion; Sneezing; Pain or fever caused by allergies or the common cold		R50.9
D00HHS-D0DJ1B	Naproxen + Pseudoephedrine	Stuffy nose; Sinus congestion; Cough		R05
D00HHS-D0DK8V	Cetirizine + Pseudoephedrine	Nasal and non-nasal symptoms associated with seasonal or perennial allergic rhinitis		J30
D00HHS-D0DV3O	epinastine + pseudoephedrine	Healthy volunteers		
D00HHS-D0E8CI	Pseudoephedrine + Triprolidine	Runny or stuffy nose and other symptoms		R09.81
D00HHS-D0N7AD	Azatadine maleate + Pseudoephedrine	Symptoms of upper respiratory mucosal congestion in perennial and allergic rhinitis		J30
D00HHS-D0O4EU	Acrivastine + Pseudoephedrine	Sneezing; Cough; Runny or stuffy nose		R05
D00HHS-D0O6IU	Phenylephrine + Pseudoephedrine	Allergic seasonal rhinitis		J30
D00HHS-D0R1QE	Ibuprofen + Pseudoephedrine	Stuffy nose; Sinus congestion; Cough		R05
D00HHS-D0X5KF	Hydrocodone + Pseudoephedrine	Cough; Nasal congestion		R05
D00HHU	AFO-18	HIV-1 infection	001-139, 042	B20-B24
D00HIC	Pseudomonas aeruginosa vaccine	Pseudomonas aeruginosa infection	001-139	B96.5
D00HMQ	Ormaplatin	Leukemia	208.9	C90-C95
D00HMZ	TV1-Kidney-1	Renal cancer	140-229, 189	C64
D00HNB	Clodronate	Hypercalcemia	275.42	E83.5
D00HNK	RHb1.1	Anemia	280-285	D50-D64
D00HNQ	TDI-0051	Motor neurone disease	335.2	G12.2
D00HPD	Moxetumomab pasudotox	Haematological malignancies	200-209	C81-C86
D00HPK	Naftifine	Dermatomycosis		B36.0
D00HPX	ON-04	Breast cancer	174, 175	C50
D00HQB	TX-MSD	Multiple scierosis	340	G35
D00HQE	Ty800	Infections	001-139	A00-B99
D00HSK	Algenpantucel-L	Pancreatic cancer	140-199, 140-229, 157, 210-229	C25
D00HSO	ISIS-5GLT2rx	Diabetes	253.5, 588.1	E23.2, N25.1
D00HTO	APOMINE	Osteopetrosis		Q78.2
D00HTT	XE-9	Transplant rejection	279.5, 996	D89.8, T86
D00HTY	PGF2alpha	Solid tumours	140-199, 210-229	C00-D48
D00HUZ	NDDP	Solid tumours	140-199, 210-229	C00-D48
D00HWO	Cyclacillin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00HYD	CDT-fenofibrate	Hyperlipidaemia	272.0-272.4	E78
D00HYF	H5N1 influenza vaccine	Influenza virus		J11.1
D00HYK	AFN-1252	Staphylococcus aureus infection		B95.6
D00HZA	YPEG-Somatropin	Growth hormone deficiency	253.0, 253.3	E22.0, E23.0
D00HZO	GS-497C	Lung cancer	162	C33-C34
D00HZV	Trimipramine	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D00IAH	Hemiacidrin	Urolithiasis		N20-N23
D00IAV	APS001F	Solid tumours	140-199, 210-229	C00-D48
D00IBN	Piroxicam	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D00ICD	SH-529	Peripheral vascular disease	443.9	I73.9
D00ICM	NALTIAZEM HYDROCHLORIDE	Angina pectoris	413	I20
D00ICY	FP-187	Autoimmune diabetes		E08-E13
D00IDP	Emdogain	Cancer	140-229	C00-C96
D00IDR	Phenylalanine hydroxylase	Autoimmune diabetes		E08-E13
D00IDV	CRTX-070	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D00IEB	DRL-21994	Lipid metabolism disorder		E75-E78
D00IFR	AZD1208	Solid tumours	140-199, 210-229	C00-D48
D00IJM	EPI-A0001	Friedreich's ataxia	334	G11.1
D00IJQ	ZATOSETRON MALEATE	Anxiety disorder	300, 311	F32, F40-F42
D00IKH	Carmofur	Cancer	140-229	C00-C96
D00IKI	PF-04895162	Epilepsy		G40
D00INM	Occlusin	Liver cancer	140-229, 155, 203.0	C22
D00IOS	CYT-017-IL17Qb	Multiple scierosis	340	G35
D00IPW	CGP-47969A	Autoimmune diabetes		E08-E13
D00IQH	RQ-00000007 (oral)	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D00IQV	Homspera	Influenza virus		J11.1
D00IRU	E-5842	Schizophrenia	295	F20
D00ISN	MT-1303	Multiple scierosis	340	G35
D00ITC	PRT4445	Bleeding	444, 453	I74, I80-I82
D00ITG	Clinafloxacin	Pneumonia		J12-J18
D00IUD	K-832	Rheumatoid arthritis	710-719, 714	M05-M06
D00IUG	Levobunolol	Open-angle glaucoma	365	H40-H42
D00IWE	RP-6000	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D00IWL	PolyHeme	Blood forming organ disorders		D75.9
D00IXM	DR-3001	Urinary incontinence	788.3	N39.3, N39.4, R32
D00IXN	GS-6637	Substance dependence		F10-F19
D00IYB	Maraciclatide	Breast cancer	174, 175	C50
D00IYM	AEZS-127	Cancer	140-229	C00-C96
D00IZD	DVC1-0101	Arteriosclerosis	440	I70
D00IZW	BM-13.1188	Diabetes	253.5, 588.1	E23.2, N25.1
D00IZY	DCN01	Ocular infection		H00-H59
D00JAU	Irbesartan	Hypertension	401	I10-I16
D00JAU-D01STB	Irbesartan + Ramipril	Albuminuria		R80
D00JAU-D03SVX	Aliskiren + Irbesartan	Hypertension	401	I10-I16
D00JAU-D08JIV	Amlodipine + Irbesartan	Hypertension	401	I10-I16
D00JAU-D0I0EG	Captopril + Irbesartan	Type 2 diabetes	250	E11
D00JAU-D0U4UQ	Hydrochlorothiazide + Irbesartan	Hypertension	401	I10-I16
D00JAU-D0WN0U	Felodipine + Irbesartan	Hypertension	401	I10-I16
D00JBM	UR-5908	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D00JCA	NewGam	Immune disorder		D80-D89
D00JDL	MGD006	Acute lymphoblastic leukemia; Acute myeloid lymphoma	204.0, 556	C91.0, C92.0
D00JDP	AMX-213	Cachexia	799.4	R64
D00JED	AN-2898	Atopic dermatitis	691.8, 692.9	L00-L99
D00JFE	ARN-810	Breast cancer	174, 175	C50
D00JFN	MDC-917	Cancer	140-229	C00-C96
D00JIV	PF-4989216	Cancer	140-229	C00-C96
D00JIX	IKH-25	Cancer	140-229	C00-C96
D00JJG	RAP101	Human immunodeficiency virus infection	279.3	B20-B26
D00JJP	UR-12519	Unspecified		
D00JJW	RH 1	Unspecified		
D00JJZ	LaViv	Multiple scierosis	340	G35
D00JKB	SC-54750	Unspecified		
D00JKJ	HS-P1	Pancreatic cancer	140-199, 140-229, 157, 210-229	C25
D00JME	SMT-14400	Allergy	995.3	T78.4
D00JMG	HRA-081035	Contraception		Z30
D00JMY	AMP-224	Solid tumours	140-199, 210-229	C00-D48
D00JNL	Tenilsetam	Alzheimer disease	331	G30
D00JNT	HCV-086	Hepatitis virus infection	573.3	K75.9
D00JQE	BAY-60-5521	Arteriosclerosis	440	I70
D00JQQ	RX-465	Sarcoma	202.8	C81-C86
D00JRA	Asenapine	Schizophrenia; Bipolar disorder	295, 296	F20, F31
D00JRD	PGF2ALPHA-IE	Glaucoma	365	H40-H42
D00JSG	Fluoratec	Attention deficit hyperactivity disorder	314	F90
D00JSV	Hydroxamates	Infection of P. falciparum 	84	B50-B54
D00JVC	ATB-429	Inflammatory bowel disease	555, 556	K50, K51
D00JVR	Azelastine	Allergic conjunctivitis	204.0, 372.0, 372.14, 995.3	C91.0, H10, H10.45, T78.4
D00JVR-D03HYX	Azelastine + Mometasone	Perennial allergic rhinitis	204.0, 472.0, 477, 995.3	C91.0, J00, J30, J31.0, T78.4
D00JVR-D0LC6K	azelastine + fluticasone	Allergic rhinitis; House dust mite allergy		J30
D00JVR-D0LC6K	azelastine + fluticasone	Seasonal allergic rhinitis	472.0, 477	J00, J30, J31.0
D00JVX	Ibalizumab	HIV-1 infection	001-139, 042	B20-B24
D00JWL	LEX-028	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D00JXV	INCB-10820	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D00JZD	GSK2321138A	Influenza virus		J11.1
D00JZS	Anti-FGFR1 mab program	Cancer	140-229	C00-C96
D00JZX	EP-012637	Asthma		J45
D00KAI	Antidepressant	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D00KCR	Enkastim-iv	Cancer	140-229	C00-C96
D00KEF	Org-2766	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
D00KFB	Dextromethorphan Polistirex	Dry cough		R05
D00KGB	Abagovomab	Ovarian cancer	183	C56
D00KGI	IVN-201	Allergy	995.3	T78.4
D00KHD	TAK-128	Diabetic neuropathy	250, 250.6, 356.0, 356.8	E11.40
D00KHM	Pimozide	Schizophrenia	295	F20
D00KIE	Ensaculin hydrochloride	Parkinson's disease	332	G20
D00KIU	MKC-242844	Lymphoma	202.8, 208.9	C81-C86
D00KJO	MUT-056399	Methicillin-resistant staphylococcus aureus infection		B95.62
D00KLH	KR-6346	Stomach ulcer		K25-K27
D00KMI	CEP-37309	Leukemia	208.9	C90-C95
D00KMQ	OI362GT	Type 1/2 diabetes	250, 278	E08-E13
D00KNI	BI-853520	Solid tumours	140-199, 210-229	C00-D48
D00KOV	Monatepil maleate	Angina pectoris	413	I20
D00KQN	PEGylated pitrakinra	Allergy	995.3	T78.4
D00KQN	PEGylated pitrakinra	Asthma; Atopic eczema		J45, L20-L30
D00KQT	FR-129169	Arteriosclerosis	440	I70
D00KRE	Olsalazine	Ulcerative colitis	556	K51
D00KRT	Indocyanine green	Gastrointestinal disease		K00-K93
D00KSU	MT-274 lead	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00KTV	Salirasib	Lung adenocarcinomas		C33-C34
D00KUD	ADL 10-0101	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D00KVE	Cutamesine	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D00KVO	Albendazole	Worm infections	120-129	B65-B83
D00KVO-D09YHJ	Albendazole + Ivermectin	Parasitic diseases		B89
D00KVO-D09YHJ-D0L9ZR	Albendazole + Ivermectin + Praziquantel	Parasitic diseases		B89
D00KVO-D0D1SG	Albendazole + Prednisolone	Eosinophilic meningitis		B83.2
D00KVO-D0L9ZR	albendazole + praziquantel	Malaria; Schistosomiasis; Helminthiasis		B50-B54, B65
D00KVX	LP-261	Cancer	140-229	C00-C96
D00KWA	Recainam	Heart arrhythmia		I47-I49
D00KWF	PYN-9	Ileus	537.2, 560.1, 560.31, 777.1, 777.4	K31.5, K56.0, K56.3, K56.7, P76.1
D00KXQ	LF-13-0491c	Atherosclerosis	414.0, 440	I70
D00LAA	VA-118020	Respiratory disease		J00-J99
D00LBD	Metazosin	Cardiotonic		I50
D00LCT	Symakalim	Hypertension	401	I10-I16
D00LDB	3,5-diiodothyropropionic acid (Allan-Herndon-Dudley syndrome), Zarion Pharmaceuticals	Cardiovascular disorder		I00-I99
D00LDI	UPA-targeted oncolytic Sendai virus	Solid tumours	140-199, 210-229	C00-D48
D00LFB	Ritodrine	Premature labour	644, 765	O60.1, P07.3
D00LGA	NN-8226	Psoriasis	696	L40
D00LHF	GS-9219	Cancer	140-229	C00-C96
D00LHI	BAY 794980	Unspecified		
D00LJF	INT0001/2004	Hypertension	401	I10-I16
D00LLI	Candistat-G	Candidiasis infection	001-139, 112	B37
D00LMR	AP-006	Pulmonary disease	460-519	J00-J99
D00LMY	RO-5212651	Non-insulin dependent diabetes		E11.9
D00LNW	KPT-330	Solid tumours	140-199, 210-229	C00-D48
D00LOB	RWJ-671818	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D00LPZ	Vapill	Diabetes	253.5, 588.1	E23.2, N25.1
D00LRP	PRS-080	Anemia	280-285	D50-D64
D00LSD	SERX-1	Non-insulin dependent diabetes		E11.9
D00LSI	Vidofludimus	Rheumatold arthritis; Inflammatory bowel disease	555, 556, 710-719, 714	K50, K51, M00-M25, M05-M06
D00LSW	VA-111913	Dysmenorrhea	625.3	N94.4-N94.6
D00LVA	Dianicline	Tobacco dependence	305.1	F17
D00LWD	AF-3473	Neuropathic pain	356.0, 356.8	G64, G90.0
D00LWF	P-1075	Hypertension	401	I10-I16
D00LWR	BVT-A	Acromegaly	253	E22.0
D00LWS	Ataprost	Asthma		J45
D00LWX	Promegapoietin	Bone marrow transplantation	279.5, 996	D89.8, T86
D00LXB	Panaecin	Lung infection	162	C33-C34
D00LXD	Omega interferon	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D00LYE	GC-003	Neutropenia	288	D70
D00LYW	BW-1003C87	Cerebrovascular ischaemia	434.91	I61-I63
D00LZH	Lymphocyte-specific tyrosine kinase inhibitors	Autoimmune diabetes		E08-E13
D00LZM	CP1	Cough	786.2	R05
D00LZO	CZC-19091	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D00LZY	AA-184	Renal injury		N17.9
D00MAI-D03SKD	oxycodone hcl + niacin	Opioid addication		F11
D00MAI-D06WTZ	Lovastatin + Niacin	Lowering cholesterol and triglycerides in the blood		E78.5
D00MAI-D09LWS	Ezetimibe + Niacin	Atherosclerosis	414.0, 440	I70
D00MAI-D09LWS-D0H0ND	Ezetimibe + Niacin + Simvastatin	Hypercholesterolemia		E78
D00MAI-D0GY5Z	Aspirin + Niacin	Dyslipidaemias	272	E78
D00MAI-D0H0ND	Niacin + Simvastatin	Lowering cholesterol and triglycerides in the blood		E78.5
D00MAI-D0JE2E-D0WL5V	Laropiprant + Niacin + Rosuvastatin	Dyslipidaemias	272	E78
D00MAI-D0WL5V	Laropiprant + Niacin	Dyslipidemia; Primary hypercholesterolemia		E78
D00MAM	AMG-JAK2-01	Myeloproliferative disorder		C94.6
D00MAN	GRC-6211	Asthma		J45
D00MBR	Iratumumab	Lymphoma	202.8, 208.9	C81-C86
D00MBY	AAD-2004	Alzheimer disease	331	G30
D00MCA	BB-PTH 1-84	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
D00MCN	AGS-16M8F	Renal cancer	140-229, 189	C64
D00MCY	REC2615	Female sexual dysfunction	302.7	F52
D00MDP	Prinomastat	Brain cancer	191, 225.0	C71, D33
D00MDP	Prinomastat	Lung cancer; Prostate cancer	140-229, 162, 185	C33-C34, C61
D00MET	Recombinant uteroglobin	Metastasis		C00-C97
D00MEV	Sch-45752	Asthma		J45
D00MFA	Aspartame	Poison intoxication		T36-T50
D00MFY	GPI-3000	Cerebrovascular ischaemia	434.91	I61-I63
D00MHP	SR-2640	Asthma		J45
D00MIF	JTP-4761	Hypertension	401	I10-I16
D00MIG	MJ-451	Unspecified		
D00MIM	FR-122788	Unspecified		
D00MIN	Propylthiouracil	Hyperthyroidism; Alcoholic hepatitis	242, 571.1	E05, K70.1
D00MIX	CP-114271	Obesity	278	E66
D00MLQ	Protosufloxacin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00MLW	Triheptanoin	Fatty acid disorders		E71
D00MLX	Abacavir/dolutegravir/lamivudine	Human immunodeficiency virus infection	279.3	B20-B26
D00MMV	Enoticumab	Solid malignancies	140-199, 210-229	C00-C75, C7A, C7B
D00MMX	Kanamycin; Capreomycin; Amikacin; Viomycin	Tuberculosis		A15-A19
D00MNG	HIV gp41 vaccine	Human immunodeficiency virus infection	279.3	B20-B26
D00MPX	JX-1395	Solid tumours	140-199, 210-229	C00-D48
D00MQS	PD-165167	Schizophrenia	295	F20
D00MRH	MDPTQ	Leukemia	208.9	C90-C95
D00MSP	FR-149581	Hypertension	401	I10-I16
D00MTG	SAR279356	Serious infections	001-139	A00-B99
D00MVK	Ro-48-8391	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00MVM	salbutamol dry-powder inhalation	Unspecified		
D00MVM-D07DVK	Beclomethasone + Salbutamol	Asthma		J45
D00MVM-D0P1WA	tiotropium + salbutamol	Chronic obstructive pulmonary disease; Cardiovascular disease; Smoking; Bronchodilation		J40-J44, J47, I00-I99, F17
D00MVM-D0S0AS	Ipratropium + Salbutamol	Bronchospasm in people with asthma or chronic obstructive pulmonary disease		J45
D00MWE	UX-004	Lysosomal storage disease		E75-E77
D00MXN	MK-3207	Migraine	346	G43
D00MYQ	Protriptyline	Depression; Bipolar disorder	311, 296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300	F30-F39, F31, F40-F42
D00MYT	Thiopental	Anesthesia	338	R20.0
D00MYT-D0F0YZ	Pentobarbital + Thiopental	Status epilepticus		G40
D00MYW	NS-018	Myelofibrosis	208.9, 289.83, 709.2	C94.4, D47.4
D00MZC	LTX-100	Infections	001-139	A00-B99
D00MZK	FK-788	Hypertension	401	I10-I16
D00NAX	Promazine	Moderate and severe psychomotor agitation		
D00NCI	TGF beta 2 receptor peptantagonists	Wound healing		T14.0-T14.1
D00NGN	Sabeluzole	Cerebrovascular ischaemia	434.91	I61-I63
D00NIV	ATYR-1920	Genetic disease		Q00-Q99
D00NJE	SFc	Autoimmune diabetes		E08-E13
D00NJJ	Mezlocillin	Urinary tract infections	599	N39.0
D00NJL	Clofoctol	Bronchitis		J20-J21, J42
D00NKB	Triamterene	Hypertension; Edema; Congestive heart failure	401, 782.3, 428	I10-I16, R60.9, I50
D00NKB-D0U4UQ	Hydrochlorothiazide + Triamterene	Hypertension	401	I10-I16
D00NMB	Milatuzumab-Dox	Multiple myeloma	203	C90
D00NNC	Etidronic acid	Paget's disease	731	M88
D00NNI	ASP-3652	Overactive bladder disorder	188, 596.51	C67, N32.81
D00NOL	MK-0536	Human immunodeficiency virus infection	279.3	B20-B26
D00NOP	OBP-401	Cancer	140-229	C00-C96
D00NOY	BetaRx	Type 1 diabetes	250	E10
D00NPE	MMP-408	Asthma; Chronic obstructive pulmonary disease	490-492, 493, 494-496	J40-J44, J47, J45
D00NPO	ABT-199/GDC-0199	Chronic lymphocytic leukaemia		C91
D00NPP	Zanamivir	Influenza virus		J11.1
D00NPP-D0O5NK	oseltamivir + zanamivir	Gastric influenza		J10, J11
D00NPP-D0O5NK	oseltamivir + zanamivir	Influenza A infection		J10, J11
D00NPT	Minodronate	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
D00NSD	XL-820	Solid tumours	140-199, 210-229	C00-D48
D00NSM	CM-GLP-1	Brain injury		S09.90
D00NTR	Histoplasmin	Histoplasma infection		B39.2
D00NTW	BIBR-363	Hypertension	401	I10-I16
D00NUG	Olokizumab	Rheumatoid arthritis	710-719, 714	M05-M06
D00NVM	SNS-595	Ovarian cancer	183	C56
D00NVO	Flezelastine	Asthma		J45
D00NVX	Forasartan	Hypertension	401	I10-I16
D00NWT	GR-213487	Cystic fibrosis	277	E84
D00NWV	Ypeginterferon alfa-2a (chronic hepatitis B/C) Amoytop	HBV infection	070.2-070.3	B16, B18.0, B18.1
D00NXM	GSK-2251052	Urinary tract infections	599	N39.0
D00NXT	Xmab 5871	Autoimmune diabetes		E08-E13
D00NYJ	Varlitinib	Breast cancer	174, 175	C50
D00NYL	AAV2/8-CBA-hSMN1	Spinal muscular atrophy	335.0-335.1	G00-G99
D00NZL	LY2603618	Non-small cell lung cancer; Pancreatic cancer	140-199, 140-229, 157, 210-229	C33-C34, C25
D00OAB	APX-007	Bone metastases	198.5	C79.51
D00OAU	GW-328267	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D00OAW	DHEA	Cardiovascular disorder		I00-I99
D00OAY	Lenampicillin hci	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00OCB	CCT-018159	Cancer	140-229	C00-C96
D00OCI	CNTO-136	Cutaneous lupus erythematosus	710	M32
D00OEG	RhTPO	Sarcoma; Idiopathic thrombocytopenic purpura	287.31	D69.3
D00OEG-D09EXD	rhtpo + rituximab	Purpura; Idiopathic thrombocytopenic purpura		D693
D00OFV	Asperlicin	Gastrointestinal disease		K00-K93
D00OGX	Anapsos	Atopic dermatitis	691.8, 692.9	L00-L99
D00OHP	PRO-GR-300	Fibrosis	709.2	L90.5
D00OJL	QBP1 mimetics	Huntington's disease	294.1, 333.4	F02.2, G10
D00OKK	PC4708	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00OMJ	SJ-BRV	Obesity	278	E66
D00ONE	CWF-0710	Asthma		J45
D00OOZ	E-7107	Cancer	140-229	C00-C96
D00OQW-D0A2ZX	metronidazole + n-acetyl cysteine	Bacterial vaginosis		N76
D00OQW-D0KE1L	N-acetylcysteine + saline	Acute renal failure		N17
D00OQW-D0PG8O	naltrexone + n-acetyl cysteine	Methamphetamine dependence		F15.20
D00ORZ	BMS-824393	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D00OTH	P-979	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D00OTL	Vernakalant	Atrial fibrillation	272, 427.31	E78, I48
D00OTQ	Proximab	Inflammatory bowel disease	555, 556	K50, K51
D00OTT	ISIS 1570	Pouchitis		K91.8
D00OVC	EVT-201	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D00OVE	PF-06650808	Cancer	140-229	C00-C96
D00OVU	Suvorexant	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D00OWU	RBP-8000	Cocaine addiction	304.2	F14.2
D00OXQ	Companion diagnostic test EGFR-TKI	Advanced breast cancer	174, 175	C50
D00OYQ	Imisopasem manganese	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D00PBI	SUVN-501	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
D00PBX	GDC-0199	Cancer	140-229	C00-C96
D00PBX	GDC-0199	Chronic lymphocytic leukaemia		C91
D00PBX-D09KTS-D0S8WA	ibrutinib + ga101 + gdc-0199	Mantle cell lymphoma	200.4, 202.8, 203.0, 208.9	C81-C86, C85.7, C90.0, C91-C95
D00PDG	CORT-108297	Abnormal weight gain		R63.5
D00PDQ	Kuzbanian	Cancer	140-229	C00-C96
D00PEH	Eltrombopag	Idiopathic thrombocytopenic purpura	287.31	D69.3
D00PEH	Eltrombopag	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
D00PEN	MGD007	Colorectal cancer	153, 154	C18-C21
D00PFW	AZD4818	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D00PGA	ALS-AAV9	Motor neurone disease	335.2	G12.2
D00PGF	RV-1088	Asthma		J45
D00PIE	Banoxantrone	Acute lymphoblastic leukemia	204.0, 556	C91.0
D00PJJ	FK-614	Type 2 diabetes	250	E11
D00PJK	SRI-21009	Cancer	140-229	C00-C96
D00PJY	Prosorba	Breast cancer	174, 175	C50
D00PLV	Nitroprusside	Hypertension	401	I10-I16
D00PLV-D07WEP	Diazoxide + Nitroprusside	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D00PLX	MystiLol	Glaucoma	365	H40-H42
D00PMA	CL-246738	Immuno-suppressant		T86.0
D00PMB	VGX-3100	Cervical intraepithelial neoplasia; Human papillomavirus infections	233.1, 622.10, 078.1079.4	D06, N87, B97.7
D00PNU	TGN-1412	Autoimmune diabetes		E08-E13
D00POS	DL-017	Hypertension	401	I10-I16
D00PPV	Siderophore-conjugated monocarbams	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00PQS	NE-2	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D00PRI	Edetate calcium disodium	Toxicity		T36-T50, T51-T65
D00PRY	Ezogabine extended release	Behcet's disease	136.1	M35.2
D00PSG	NOX-100	Hypotension	458, 796.3	I95
D00PTZ	Dasiprotimut-T	Lymphoma	202.8, 208.9	C81-C86
D00PUT	BT-016	Rheumatoid arthritis	710-719, 714	M05-M06
D00PXQ	Fananserin	Schizophrenia	295	F20
D00PYP	NBI-37582	Anxiety disorder; Depression	300, 311	F30-F39, F40-F42
D00PZH	AC-187	Type 2 diabetes	250	E11
D00PZK	APD-405	Emesis	787	R11
D00QAQ	Terpenoid schweinfurthins	Cancer	140-229	C00-C96
D00QAX	PF-708093	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00QBV	DD7	Septic shock; Myocardial ischaemia-reperfusion injury; Acute respiratory distress syndrome	492, 518.5, 518.82, 785.52	A41.9, J43, J80
D00QBY	Angiogenesis promoters	Cardiovascular disorder		I00-I99
D00QCB	SRI-62-834	Solid tumours	140-199, 210-229	C00-D48
D00QCV	MG-401	Cancer	140-229	C00-C96
D00QCX	SCP-123	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D00QEP	Inotuzumab ozogamicin	Aggressive non-hodgkin's lymphoma	200, 201, 202, 202.8, 208.9	C81, C81-C86, C82-C85, C91-C95
D00QET	Montelukast	Asthma		J45
D00QET-D06ABF	Loratadine + Montelukast	Seasonal allergic rhinitis	472.0, 477	J00, J30, J31.0
D00QET-D0D1SG	Montelukast + Prednisolone	Bronchial asthma	493	J45
D00QET-D0L5YV-D0LC6K	Montelukast + Salmeterol + Fluticasone	Asthma		J45
D00QET-D0L5YV-D0Y7IU	budesonide + salmeterol + montelukast	Asthma		J45
D00QET-D0LC6K	Montelukast + Fluticasone	Allergic perennial rhinitis		J30
D00QET-D0N4ZX	montelukast + mk-1029	Asthma		J45
D00QFV	GR-DD1	Liver cancer	140-229, 155, 203.0	C22
D00QFY	YM533	Chronic renal failure	585.9585.1-585.5403	N18
D00QGB	O-2442	Cocaine addiction	304.2	F14.2
D00QGP	ERR alpha modulators	Non-insulin dependent diabetes		E11.9
D00QGV	Human interferon alpha oral	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D00QHT	AK-295	Cerebral infarction		I63
