4-ethyl-3,4-dihydroquinazolin-2-amine	HTR5A
r-n6-(phenylisopropyl)adenosine	ADORA3
r-n6-(phenylisopropyl)adenosine	ADORA1
1-amino-2-phenoxyanthracene-9,10-dione	ADORA2A
ufp-101	OPRL1
platelet factor 4 (pf-4)	FGFR2
axicabtagene ciloleucel	CD19
4-(dimethylamino)butyl imidothiocarbamate	HNMT
peldesine	PNP
c[-arg-gly-asp-acpca36-]	ITGAV
c[-arg-gly-asp-acpca36-]	ITGB3
gr-133686	F2
gr-133686	PRSS1
2-(benzylamino)-5,5-diethyloxazol-4(5h)-one	HSD11B1
slx-2101	PDE5A
(s)-2-amino-1-thiazolidin-3-yl-propane-1-thione	DPP4
kb002/003	CSF2
di-leu16-il2	MS4A1
ethoxycoumarin	CA12
ethoxycoumarin	CA9
8-deoxy-neodysiherbaine	GRIK1
5-bromo-4,9-dihydro-3h-beta-carboline	MAOA
5-bromo-4,9-dihydro-3h-beta-carboline	MAOB
1-naphthalen-2-yl-piperazine	HTR1A
1-naphthalen-2-yl-piperazine	HTR1D
1-naphthalen-2-yl-piperazine	HTR1B
1-naphthalen-2-yl-piperazine	HTR2A
pdgf receptor tyrosine kinase inhibitor iii	PDGFRB
nickel chloride	CACNA1G
2-(1h-imidazol-4-ylmethyl)-4-phenyl-thiazole	HTR3A
2-(1h-imidazol-4-ylmethyl)-4-phenyl-thiazole	HTR3B
[d-4aph(co-nh-oh)6]degarelix	GNRHR
rocuronium	CHRM2
rocuronium	CHRNA2
ljm716	ERBB3
cp-331684	ADRB3
diazepam	GABRR2
diazepam	GABRG3
diazepam	GABRD
diazepam	GABRR1
diazepam	GABRG2
diazepam	GABRA1
diazepam	GABRG1
diazepam	GABRA4
diazepam	GABRA2
diazepam	GABRE
diazepam	GABRP
diazepam	GABRB3
diazepam	GABRQ
diazepam	GABRR3
diazepam	GABRA5
diazepam	GABRA3
diazepam	GABRB1
diazepam	GABRA6
diazepam	TSPO
diazepam	GABRB2
isis 191756	DGAT1
2-(n-isopropylamino)-3'-chloropropiophenone	SLC6A3
ro 10-4548	DRD4
3-(3-benzyl-6-methoxynaphthalen-2-yl)pyridine	CYP11B1
vp004	OPRK1
vp004	OPRD1
vp004	OPRM1
emc-0901	DPP4
[3h]cpp	GRIN2C
[3h]cpp	GRIN2A
[3h]cpp	GRIN1
[3h]cpp	GRIN2D
[3h]cpp	GRIN2B
metformin arginine-hemisuccinimide	INSR
gsk618334	DRD3
n-(pyridin-3-yl)indoline-1-carboxamide	HTR2C
ng-25	MAP3K7
ng-25	SRC
ng-25	LYN
ng-25	CSK
ng-25	MAP4K2
adinazolam	GABRR2
adinazolam	GABRG3
adinazolam	GABRD
adinazolam	GABRR1
adinazolam	GABRG2
adinazolam	GABRA1
adinazolam	GABRG1
adinazolam	GABRA2
adinazolam	GABRE
adinazolam	GABRP
adinazolam	GABRB3
adinazolam	GABRR3
adinazolam	GABRA5
adinazolam	GABRA3
adinazolam	GABRB1
adinazolam	TSPO
adinazolam	GABRB2
3-methyl-n-(6-methylpyridin-2-yl)benzamide	GRM5
1-(oxazolo[4,5-b]pyridin-2-yl)pentan-1-one	FAAH
(o10eq)-guanidino acetylryanodine	RYR1
tonabersat	HTR1D
[35s]acppb	SLC6A9
4-sulfamoyloxy-benzoic acid hexyl ester	STS
cycloguanil	PDF
cycloguanil	DHFR
donepezil	ACHE
topostatin	TOP1
topostatin	TOP2A
topostatin	TOP2B
roflumilast	PDE4A
roflumilast	PDE4C
roflumilast	PDE4D
roflumilast	PDE4B
[3h]a81988	AGTR1
7-(2-dipropylamino-ethyl)-3h-benzothiazol-2-one	DRD2
7-nitroindazole-2-carboxamidine	NOS3
xmab-2513	TNFRSF8
cct244747	BRSK2
cct244747	BRSK1
cct244747	CHEK1
acetate ion	PTPN1
acetate ion	MMP12
acetate ion	DHODH
acetate ion	PLA2G1B
acetate ion	LTA4H
acetate ion	ESR2
acetate ion	ACE
acetate ion	TXN
acetate ion	HPD
acetate ion	CA2
acetate ion	SOD1
acetate ion	NOS1
acetate ion	NOS3
acetate ion	ABAT
acetate ion	AKR1C3
delta 8-tetrahydrocannobinol	CNR1
delta 8-tetrahydrocannobinol	CNR2
4-hydroxy-n-propargyl-1(r)-aminoindan	MAOB
srss-021	HTR3A
3-(6-bromo-naphthalen-2-yl)-pyridine	CYP11B1
oi287gt	INS
u101958	DRD4
nada	TRPV1
indapamide	KCNE1
indapamide	KCNQ1
oxotremorine	CHRM2
mcl-149	OPRK1
mcl-149	OPRD1
mcl-149	OPRM1
fp-1039	FGFR1
amg-8562	TRPV1
1-chloro-6-(4-hydroxyphenyl)-2-naphthol	ESR2
4-(4-phenyl-butyl)-1h-imidazole	HRH3
3-[(2-methyl-4-thiazolyl)ethynyl]benzamide	GRM5
4-biphenyl-4-yl-2-(1-propyl-butyl)-1h-imidazole	SCN1A
pf-514273	CNR1
isis 191731	DGAT1
2-(3-methoxy-phenyl)-1-methyl-ethylamine	HTR1A
2-(3-methoxy-phenyl)-1-methyl-ethylamine	HTR1D
2-(3-methoxy-phenyl)-1-methyl-ethylamine	HTR2A
2-(3-hydroxyphenyl)-7-methoxychroman-4-one	CYP19A1
sri-63-675	PTAFR
pd-0180970	PDGFRB
pd-0180970	EGFR
pd-0180970	LCK
pd-0180970	PDGFRA
pd-0180970	SRC
pd-0180970	FGFR1
2-(2-(phenylamino)pyrimidin-4-ylamino)benzamide	MAPK8
3,5,6,8-tetramethyl-n-methyl phenanthrolinium	METAP2
6-mercapto-hexanoic acid phenylamide	HDAC1
6-mercapto-hexanoic acid phenylamide	HDAC6
6-mercapto-hexanoic acid phenylamide	HDAC4
6-mercapto-hexanoic acid phenylamide	HDAC8
6-mercapto-hexanoic acid phenylamide	HDAC2
6-mercapto-hexanoic acid phenylamide	HDAC10
amg-1	IDO1
ici 200,355	ELANE
enalkiren	REN
isis 103612	WWP1
mezilamine	ADRA2C
mezilamine	ADRA2B
mezilamine	ADRA2A
gevotroline	SIGMAR1
isis-apociii	APOC3
1-benzhydryl-4-(4,4-diphenylbutyl)piperazine	CACNA2D1
1-benzhydryl-4-(4,4-diphenylbutyl)piperazine	CACNG1
pf-3900422	HRH3
n-(3,3-diphenyl)propyl-2,2-diphenylacetamide	CNR1
n-(3,3-diphenyl)propyl-2,2-diphenylacetamide	CNR2
gw 627368	PTGER4
2,3-dihydro-1h-indene-5-sulfonamide	CA12
2,3-dihydro-1h-indene-5-sulfonamide	CA2
2,3-dihydro-1h-indene-5-sulfonamide	CA1
galangin	CYP1B1
galangin	ADORA3
galangin	ADORA2A
ld-101	AKT1
6,7-difluoro-3-thiophen-3-yl-quinoline	PDGFRA
6,7-difluoro-3-thiophen-3-yl-quinoline	PDGFRB
meglitinides	INSR
premarin/trimegestone	ESR1
[(1e)-4-phenylbut-1-enyl]benzene	MAOB
5-(azepan-1-ylsulfonyl)indoline-2,3-dione	CASP3
n-(2-benzyl),n-(1-methylpyrrol-2-ylmethyl)amine	MAOA
c[nle-gln-d-phe-arg-trp-glu]-nh2	MC1R
c[nle-gln-d-phe-arg-trp-glu]-nh2	MC3R
ethyl 6-iodo-9h-pyrido[3,4-b]indole-3-carboxylate	GABRA1
ethyl 6-iodo-9h-pyrido[3,4-b]indole-3-carboxylate	GABRA5
ethyl 6-iodo-9h-pyrido[3,4-b]indole-3-carboxylate	GABRA3
ethyl 6-iodo-9h-pyrido[3,4-b]indole-3-carboxylate	GABRA2
ethyl 6-iodo-9h-pyrido[3,4-b]indole-3-carboxylate	GABRG2
isis 112724	MIF
bivalirudin	F2
oxy-111a	HBB
oxy-111a	HBA2
1-phenyl-3-(3-(pyridin-2-yl)isoquinolin-1-yl)urea	ADORA3
sn-2	MCOLN3
gsk221149	OXTR
mdl-201112	TNF
palmatine	CYP3A4
r-56865	CACNA1C
4-methanesulfonylamino-benzenesulfonamide	CA12
4-methanesulfonylamino-benzenesulfonamide	CA2
4-methanesulfonylamino-benzenesulfonamide	CA1
4-methanesulfonylamino-benzenesulfonamide	CA9
ethyl 3-(biphenyl-3-ylamino)-2-cyanoacrylate	DHODH
n,n-dimethyl(2-phenoxyphenyl)methanamine	SLC6A2
n,n-dimethyl(2-phenoxyphenyl)methanamine	SLC6A4
mitotane	CYP11B1
mitotane	ESR1
n-cyclohexyl-n'-(propyl)phenyl urea	EPHX2
alrestatin	AKR1B1
[3h](-)cgp 12177	ADRB3
isis 113048	E2F1
[3h]9-cis-retinoic acid	RARB
[3h]9-cis-retinoic acid	RARA
[3h]9-cis-retinoic acid	RXRA
[3h]9-cis-retinoic acid	RARG
[3h]9-cis-retinoic acid	RXRB
[3h]9-cis-retinoic acid	RXRG
1,3-diethyl-3,7-dihydro-purine-2,6-dione	ADORA2A
1,3-diethyl-3,7-dihydro-purine-2,6-dione	ADORA2B
1,3-diethyl-3,7-dihydro-purine-2,6-dione	ADORA1
biib-033	LINGO1
azd-9272	GRM1
levonordefrin	ADRA1A
levonordefrin	ADRA1B
levonordefrin	ADRA2B
levonordefrin	ADRA2C
levonordefrin	ADRA1D
levonordefrin	ADRA2A
7-cyclopentyloxy-3-(4-hydroxyphenyl)chromen-4-one	ESR1
anandamide	CNR1
isis 103736	WWP2
isis 101986	SMAD6
1-(4-nitrobenzyl)-1h-imidazole	CYP17A1
zoxazolamine	KCNN2
carfilzomib	PSMB5
carfilzomib	PSMB1
carfilzomib	PSMB2
carfilzomib	PSMB8
carfilzomib	PSMB9
carfilzomib	PSMB10
kw-5092	ACHE
pazopanib hcl	KDR
pazopanib hcl	KIT
8-methyl-2-morpholino-7-phenoxy-4h-chromen-4-one	PDE3A
(+/-)-7-methoxy-2-phenylchroman-4-one	CYP19A1
(+/-)-7-methoxy-2-phenylchroman-4-one	MAOB
buclizine	HRH1
buclizine	CHRM1
recombinant follicle stimulating hormone	FSHR
benzyl-[2-(1h-indazol-4-yloxy)-ethyl]-amine	DRD2
benzyl-[2-(1h-indazol-4-yloxy)-ethyl]-amine	DRD3
benzyl-[2-(1h-indazol-4-yloxy)-ethyl]-amine	DRD4
fm1-10	CHRM2
fm1-10	CHRM1
fm1-10	CHRM4
fm1-10	CHRM3
morab-009	MSLN
12-phenylheme	HMOX1
cmpd1	MAPKAPK2
1-methylxanthine	ADORA2A
1-methylxanthine	ADORA2B
1-methylxanthine	ADORA1
9-cyclopropyl-9h-adenine	ADORA2A
isis 111105	CYTH2
art621	TNF
ly2109761	TGFBR1
ly2109761	TGFBR2
gr 128107	MTNR1A
5-naphthalen-2-yl-1h-imidazole	CYP11B1
compound 23e	GRM1
(r/s)-2-((4-phenoxyphenoxy)methyl)piperidine	LTA4H
dimethylnordihydroguarierate acid	ALOX15
dimethylnordihydroguarierate acid	ALOX12
penfluridol	CACNA1G
5-heat	MTNR1A
pf-4554878	PTK2
van-10-4-eluting stent	MAPK1
van-10-4-eluting stent	MAPK3
16-beta-ethoxymethyl-estrone	HSD17B1
[125i]zm-241385	ADORA2B
ve-04051645	F2
altu-236	PAH
la-480	MET
her-2 protein autovac	ERBB2
enmd-2076	AURKA
apolizumab	HLA-DRB5
2-(butylthiomethyl)-5-hydroxy-4h-pyran-4-one	TYR
sr8278	NR1D1
n-phenyl-1h-pyrrole-2-carboxamide	MAOA
compound a127 [wo2013110309]	EIF2AK4
win-64745	TACR1
4-hydroxysaprothoquinone	TOP1
pf-05241328	SCN9A
bam-1110	DRD2
bam-1110	DRD1
2-(4-diethylamino-but-2-ynyl)-isoindole-1,3-dione	CHRM2
2-(4-diethylamino-but-2-ynyl)-isoindole-1,3-dione	CHRM1
sibrafiban	ITGB3
sibrafiban	ITGA2B
delta1-dihydrotestosterone	AR
irdabisant	HRH3
epocarbazolin-a	ALOX5
bmy-7378	HTR1A
bmy-7378	ADRA1A
bmy-7378	ADRA1B
bmy-7378	ADRA1D
estradiol 17-o-sulfamate	STS
l-742791	ADRB3
nsc-656158	MAOA
nsc-656158	MAPK10
(s)-rolipram	PDE4A
(s)-rolipram	PDE4C
(s)-rolipram	PDE4D
(s)-rolipram	PDE4B
cnx-011	FFAR1
compound (r)-10h	MCHR1
skf-104351	ALOX5
benzyl derivative of m6g	OPRK1
benzyl derivative of m6g	OPRD1
benzyl derivative of m6g	OPRM1
7-methyl-8-oxo-5-p-tolyl-7,8-dihydro-[1,7]naphthyridine-6-carboxylic acid (s)-[(r)-1-(3,5-bis-trifluoromethyl-phenyl)-ethyl]-methyl-amide (enantiomeric mix)	TACR1
p'-geranyl 2-fluoromevalonate 5-diphosphate	MVD
(2-bromo-phenyl)-(1h-imidazol-2-yl)-amine	ADRA2A
(2-bromo-phenyl)-(1h-imidazol-2-yl)-amine	ADRA1A
(2-bromo-phenyl)-(1h-imidazol-2-yl)-amine	ADRA2C
(2-bromo-phenyl)-(1h-imidazol-2-yl)-amine	ADRA1B
(2-bromo-phenyl)-(1h-imidazol-2-yl)-amine	ADRA1D
6-hydroxypropylthymine	TK1
5-aminoquinolin-8-ol	IDO1
n-(4-iodophenyl)-4-(trifluoromethoxy)benzamide	TRPV1
lsi-518p	APOA1
1,4-bis-(dmt-tic-amino)butane	OPRD1
1,4-bis-(dmt-tic-amino)butane	OPRM1
(2'z,3'e)-5-fluoro-5'-methyl-indirubin-3'-oxime	CCNE1
(2'z,3'e)-5-fluoro-5'-methyl-indirubin-3'-oxime	CDK2
5-biphenyl-4-ylmethyl-1-isobutyl-1h-tetrazole	CNR2
2-(4-dipropylamino-cyclohexylidene)-malononitrile	DRD2
2-(4-dipropylamino-cyclohexylidene)-malononitrile	DRD3
ald-401	ALDH2
monoisopropylphosphorylserine	ACHE
ephb4-131	EPHB4
534u87	SCN1A
gw-5074	NTRK1
gw-5074	RAF1
z-ala-leu-nal-agly-ile-val-ome	CTSK
z-ala-leu-nal-agly-ile-val-ome	CTSB
ser-100	OPRL1
insulin molecules, novo	INS
f(4-fluoro)vae	HMGCR
6-chloro-1h-indazole	NOS1
st-1025	HRH3
pardoprunox	DRD2
las 100977	ADRB2
sub[-trp-arg-nva-arg-tyr-nh2]2	NPY1R
sub[-trp-arg-nva-arg-tyr-nh2]2	NPY2R
sub[-trp-arg-nva-arg-tyr-nh2]2	NPY4R
3-[3-methyl-indan-(1e)-ylidenemethyl]-pyridine	CYP19A1
gsk649868	HCRTR1
pirfenidone	TGFB1
idm-2101	CEACAM5
idm-2101	MAGEA3
obidoxime	ACHE
sulfamic acid 3-sulfamoyloxy-phenyl ester	CA2
sulfamic acid 3-sulfamoyloxy-phenyl ester	CA1
sulfamic acid 3-sulfamoyloxy-phenyl ester	CA9
alprenolol	ADRB1
alprenolol	HTR1A
alprenolol	ADRB2
1-(2-methoxy-phenyl)-4-propyl-piperazine	HTR1A
1-(2-methoxy-phenyl)-4-propyl-piperazine	HTR2A
pg-545	HPSE
sam-6	HSPA5
diazacholesterol	DHCR24
calindol	CASR
calindol	GPRC6A
nis-62949	PDE4A
imprime pgg immunotherapeutic	C3
rg-14893	LTB4R
3-methoxy-4-(oxazol-5-yl)aniline	IMPDH2
cp-409069	NR3C1
cp-409069	ESR2
cp-409069	ESR1
cp-409069	AR
sk&f-105854	ADRA1A
sk&f-105854	ADRA1B
sk&f-105854	ADRA1D
1,5-bis(4-chlorophenyl)-1h-1,2,3-triazole	CNR1
azd-1678	CCR4
2-cyclohexylethynyl-pyridine	GRM5
glenvastatin	HMGCR
lt-1951	NOS2
sulfatinib	KDR
sulfatinib	FGFR1
sulfatinib	FLT4
sulfatinib	FLT1
isis 9064	ARAF
tt-100	EGFR
tt-100	IGF1R
5-oxo-20-hete	OXER1
2h-isoquinolin-1-one	PARP1
pyrrolo[3,4-e]indole-1,3(2h,6h)-dione	PARP1
(+/-)-threo-n-(6-phenylhexyl)methylphenidate	SLC6A3
conjugated estrogens	ESR2
conjugated estrogens	ESR1
8-chloro-quinoline-3-carbonitrile	MMP3
8-chloro-quinoline-3-carbonitrile	MAP3K8
4-fluoro-n-(4-(methylsulfonyl)phenyl)aniline	PTGS2
2-thiomorpholino-4h-benzo[h]chromen-4-one	PRKDC
isis 134608	CASP6
tgx-6b4	GP1BA
peg-tgf peptantagonist	TGFBR1
pik-75	PIK3CG
pik-75	PRKDC
pik-75	PIK3CB
isis 25115	MAP2K2
methylene blue	NOS1
methylene blue	GUCY1A2
(e)-8-biphenyl-4-yl-1-oxazol-2-yl-oct-7-en-1-one	HDAC1
(e)-8-biphenyl-4-yl-1-oxazol-2-yl-oct-7-en-1-one	HDAC6
(e)-8-biphenyl-4-yl-1-oxazol-2-yl-oct-7-en-1-one	HDAC4
(e)-8-biphenyl-4-yl-1-oxazol-2-yl-oct-7-en-1-one	HDAC8
(e)-8-biphenyl-4-yl-1-oxazol-2-yl-oct-7-en-1-one	HDAC2
(e)-8-biphenyl-4-yl-1-oxazol-2-yl-oct-7-en-1-one	HDAC10
isis 173840	AURKB
n-(5-phenyl-1,3,4-thiadiazol-2-yl)sulfamide	CA4
n-(5-phenyl-1,3,4-thiadiazol-2-yl)sulfamide	CA2
n-(5-phenyl-1,3,4-thiadiazol-2-yl)sulfamide	CA1
gsk-334429	HRH3
gamma-carboxy-glutamic acid	F2
gamma-carboxy-glutamic acid	F9
gamma-carboxy-glutamic acid	F10
bivalirudine	F2
9-o-[2-(phenylol-1-yloxy)hexyl]berberine bromide	BCHE
9-o-[2-(phenylol-1-yloxy)hexyl]berberine bromide	ACHE
6-hydroxy-2-(4-hydroxy-benzyl)-chromen-4-one	AKR1B1
8-chloro-1,3-dihydro-imidazo[4,5-b]quinolin-2-one	PDE3A
hua33	GPA33
l-740093	CCKAR
pmx-700	DNMT1
psb-09120	ADORA2B
psb-09120	ADORA2A
isis 12882	ERBB2
2-(3-methyl-3h-imidazol-4-yl)-ethylamine	HRH3
n-propylnorapomorphine	DRD1
n-propylnorapomorphine	DRD5
n-hydroxy-n-methyl-2,3,3-triphenyl-acrylamide	ALOX5
lck tyrosine kinase inhibitors	LCK
cp-99,994	TACR1
tgf-beta receptor 1 kinase inhibitor	TGFBR1
ramorelix	GNRHR
2-(tert-butylamino)-3'-fluoropropiophenone	SLC6A3
lotrafiban	ITGB3
lotrafiban	ITGA2B
ur-10324	PTAFR
a 77636	DRD1
(1s,2r)-n-oleoylcyclopropanolamide	CNR1
(1s,2r)-n-oleoylcyclopropanolamide	CNR2
[1,4]thiazepan-(3e)-ylideneamine	NOS1
[1,4]thiazepan-(3e)-ylideneamine	NOS3
[1,4]thiazepan-(3e)-ylideneamine	NOS2
99mtc-mip-1340	FOLH1
levetiracetam	CACNA1B
levetiracetam	SV2A
isis 113858	MAP3K2
calcifediol	VDR
insulin-lispro	INSR
[3h]alniditan	HTR1B
[3h]alniditan	HTR1D
5'-guanidinonaltrindole	OPRK1
2-cyclopropanecarbonyl-cyclohexane-1,3-dione	HPD
methoxyflurane	GABRD
methoxyflurane	GABRG3
methoxyflurane	GABRG2
methoxyflurane	GABRA1
methoxyflurane	GRIA1
methoxyflurane	GABRG1
methoxyflurane	GLRA1
methoxyflurane	GABRA4
methoxyflurane	GABRA2
methoxyflurane	GABRE
methoxyflurane	GABRP
methoxyflurane	GABRB3
methoxyflurane	GABRQ
methoxyflurane	KCNA1
methoxyflurane	GABRA3
methoxyflurane	GABRA5
methoxyflurane	GABRA6
methoxyflurane	GABRB1
methoxyflurane	GABRB2
raltitrexed	TYMS
bremelanotide	MC4R
des-aa1,4,5,13-[tyr2,d-trp8]-srif	SSTR3
des-aa1,4,5,13-[tyr2,d-trp8]-srif	SSTR1
ac-icv(5fw)qdwgahrct-nh2	C3
biperiden	CHRM1
biperiden	CHRNA2
n6022	CBR1
6beta-naltrexol hcl	OPRK1
6beta-naltrexol hcl	OPRD1
6beta-naltrexol hcl	OPRM1
[35s]adpbetas	P2RY1
farglitazar	PPARG
n-(chlorophenyl)-n'-hydroxyguanidine	NOS3
lm-1507.na	CYSLTR1
cpi-613	OGDH
2,6-dicarboxynaphthalene	HBB
2,6-dicarboxynaphthalene	HBA2
ro-64-6198	OPRL1
cgp 26505	ADRB1
lg-889	F8
3-phenyl-5-sulfamoyl-1h-indole-2-carboxamide	CA2
3-phenyl-5-sulfamoyl-1h-indole-2-carboxamide	CA1
n-(1,3,4-thiadiazol-2-yl)benzamide	ALOX5
3-[4-(benzylmethylamino)butoxy]xanthen-9-one	BCHE
3-[4-(benzylmethylamino)butoxy]xanthen-9-one	ACHE
jwh-302	CNR2
tetraethylammonium	KCNT1
tetraethylammonium	TRPV2
tetraethylammonium	KCNQ3
tetraethylammonium	KCNA3
tetraethylammonium	KCNC1
tetraethylammonium	KCNN2
tetraethylammonium	KCNC3
tetraethylammonium	KCNN3
tetraethylammonium	KCNJ4
tetraethylammonium	AQP1
tetraethylammonium	KCNN1
tetraethylammonium	KCNA2
tetraethylammonium	KCNC4
tetraethylammonium	KCNC2
tetraethylammonium	KCNQ5
tetraethylammonium	KCNMB4
tetraethylammonium	KCNB1
tetraethylammonium	KCNA6
tetraethylammonium	KCNB2
tetraethylammonium	KCND1
tetraethylammonium	KCNT2
tetraethylammonium	KCNQ4
tetraethylammonium	KCNQ2
tetraethylammonium	KCNU1
tetraethylammonium	KCNA10
tetraethylammonium	KCNA5
tetraethylammonium	KCNA1
tetraethylammonium	KCNA7
c[co-o-c6h4-co-pro-d-phe-arg-trp-lys]-nh2	MC4R
athx-105	HTR2C
d-366	DRD2
d-366	DRD3
cyc-103	CDK4
8-chloro-3-hydroxy-1h-benzo[b]azepine-2,5-dione	GRIN2A
8-chloro-3-hydroxy-1h-benzo[b]azepine-2,5-dione	GRIN1
8-chloro-3-hydroxy-1h-benzo[b]azepine-2,5-dione	GRIN2B
2-methoxyethyl 18-methoxycoronaridinate	CHRNB4
2-allylisoquinoline-1,3,4-trione	CASP3
mln8237	AURKA
4-sulfamoyloxy-benzoic acid butyl ester	STS
1-(phenylsulfonyl)-1h-pyrrolo[3,2-b]pyridine	MET
imitrodast	TBXAS1
n-(quinolin-8-yl)-6-(sulfamoylamino)hexanamide	HDAC6
cyclo(-l-am7(s2py)-aib-l-ser-d-pro-)	HDAC6
cyclo(-l-am7(s2py)-aib-l-ser-d-pro-)	HDAC4
cyclo(-l-am7(s2py)-aib-l-ser-d-pro-)	HDAC1
niacin	NNMT
niacin	HCAR3
niacin	QPRT
niacin	HCAR2
anti-psa mabs	KLK3
xnt	ACE2
3-(2-amino-ethyl)-2-methyl-1h-indol-5-ol	HTR3A
3-(2-amino-ethyl)-2-methyl-1h-indol-5-ol	HTR6
3-(2-amino-ethyl)-2-methyl-1h-indol-5-ol	HTR3B
trelagliptin succinate	DPP4
vedolizumab	ITGA4
vedolizumab	ITGB7
lmw heparin	F10
3-(isopentyloxy)-9h-pyrido[3,4-b]indole	GABRA1
3-(isopentyloxy)-9h-pyrido[3,4-b]indole	GABRA5
3-(isopentyloxy)-9h-pyrido[3,4-b]indole	GABRA3
3-(isopentyloxy)-9h-pyrido[3,4-b]indole	GABRA2
3-(isopentyloxy)-9h-pyrido[3,4-b]indole	GABRG2
melogatran	F2
3-(6-amino-purin-9-yl)-6-phenyl-hexan-2-ol	ADA
4-(3-methylpyridin-2-yl)-n-p-tolylbenzamide	TRPV1
bch-2687	OPRM1
nsc-745799	TERT
mi-1148	FURIN
thrombopoietin	MPL
angiotensin ii	AGTR2
angiotensin ii	AGTR1
mrs2365	P2RY1
c-014c	CCR4
n,n-diethyl-2-(1h-indol-3-yl)ethanamine	HTR6
cyclo(-l-am7(s2py)-aib-l-phe-d-pro-)	HDAC6
cyclo(-l-am7(s2py)-aib-l-phe-d-pro-)	HDAC4
cyclo(-l-am7(s2py)-aib-l-phe-d-pro-)	HDAC1
dihydrokaempferol	XDH
ocrelizumab	MS4A1
[bpa1]angii	AGTR1
(+/-)-threo-n-benzylmethylphenidate amide	SLC6A3
2-(n-pyrrolidinyl)-3'-methoxypropiophenone	SLC6A2
2-(n-pyrrolidinyl)-3'-methoxypropiophenone	SLC6A3
4-methyl-n-(4-phenyl-thiazol-2-yl)-benzamide	ADORA1
cyclo(1,12)peniydtkgknvlc-oh	CD2
jwh-311	CNR2
ro-43-8857	ITGB3
coprexa	SOD1
malp-2s	TLR2
malp-2s	TLR6
4-hexyl-n-(quinolin-3-yl)benzamide	TRPV1
7-fluoro-3-thiophen-3-yl-quinoline	PDGFRA
7-fluoro-3-thiophen-3-yl-quinoline	PDGFRB
capadenoson	ADORA1
chlormezanone	TSPO
rg-7166	SLC6A2
rg-7166	SLC6A4
rg-7166	SLC6A3
n,n'-bis-(4-ethyl-phenyl)-guanidine	GRIN2A
n,n'-bis-(4-ethyl-phenyl)-guanidine	GRIN1
n,n'-bis-(4-ethyl-phenyl)-guanidine	GRIN2B
6-methoxy-2,3,4,9-tetrahydro-1h-beta-carboline	MAOA
6-methoxy-2,3,4,9-tetrahydro-1h-beta-carboline	MAOB
6-methoxy-2,3,4,9-tetrahydro-1h-beta-carboline	HTR2A
2-(n-pyrrolidinyl)-3'-bromopropiophenone	SLC6A2
2-(n-pyrrolidinyl)-3'-bromopropiophenone	SLC6A3
2-methoxy-n-(3-methyl-2-phenyl-butyl)-benzamide	KCNA3
4-hydroxy-3-nitrobenzaldehyde	ABAT
mt-1303	S1PR1
3-(4-methoxyphenyl)quinoxaline-5-carboxamide	PARP1
[3h]n5-methylfolate	SLC46A1
4-(3,4-dimethoxy-phenoxy)-6,7-dimethoxy-quinoline	PDGFRA
4-(3,4-dimethoxy-phenoxy)-6,7-dimethoxy-quinoline	PDGFRB
tc-2216	CHRNB2
tc-2216	CHRNA4
hydroxyclemastine	HRH1
hexylcaine	SCN5A
bococizumab	PCSK9
aleglitazar	PPARG
aleglitazar	PPARA
ezn-3920	ERBB3
cilomilast	PDE4A
cilomilast	PDE4D
cilomilast	PDE4C
cilomilast	PDE4B
2-morpholino-7-(2-phenylethynyl)-4h-chromen-4-one	PDE3A
4-chlorophenyl 10h-phenothiazine-10-carboxylate	BCHE
ac-[cfwkfc]-nh2	UTS2R
trn-101	ROCK1
trn-101	ROCK2
erepoxen	EPOR
5-mpep	GRM5
sulfoarecoline	CHRM2
sulfoarecoline	CHRM1
sulfoarecoline	CHRM4
sulfoarecoline	CHRM3
sb-431542	TGFBR1
n-(4-amino-5-cyano-6-phenylpyridin-2-yl)acetamide	CHUK
n-(4-amino-5-cyano-6-phenylpyridin-2-yl)acetamide	MAPK8
n-(4-amino-5-cyano-6-phenylpyridin-2-yl)acetamide	CDK2
n-(4-amino-5-cyano-6-phenylpyridin-2-yl)acetamide	MAPK10
n-(4-amino-5-cyano-6-phenylpyridin-2-yl)acetamide	MAPK9
super cinnamaldehyde	TRPA1
mimosine	CCL2
mimosine	SHMT1
amr-six-1	HTR6
sr-43845	REN
apadoline	OPRK1
bi-836858	CD33
cid16020046	GPR55
acolbifene	ESR1
5-phenyl-1h-indazol-3-amine	JAK2
mln-576	TOP1
mln-576	TOP2A
mln-576	TOP2B
conessine	HRH3
conessine	ADRA2C
[123i]sb 207710	HTR4
mk-499	KCNH2
riociguat	GUCY1A2
propan-2-one o-4-(hexyloxy)phenylcarbamoyl oxime	FAAH
n-(3,4-dimethylphenyl)-n'-hydroxyoctanediamide	HDAC1
lisinopril-tryptophan	ACE
awd-12-281	PDE4A
awd-12-281	PDE4D
awd-12-281	PDE4B
isis 188778	FOXO1
dapagliflozin propanediol; saxagliptin hydrochloride	DPP4
dapagliflozin propanediol; saxagliptin hydrochloride	SLC5A2
eslicarbazepine acetate	P2RX4
pfi-3	PBRM1
pfi-3	SMARCA4
idelalisib	PIK3CD
ibritumomab tiuxetan	MS4A1
fggftgarksarkllnq	OPRL1
fexofenadine	HRH1
r-84	KDR
n-(1-(4-bromobenzyl)piperidin-4-yl)-2-naphthamide	HTR2A
